'8b3fee14,arinamaros,2023-05-06 17:15:56,css'
'01ded985,Shalini,2023-05-06 17:10:57,changes on eventcheckout buttons'
'c9ac089a,Shalini,2023-05-06 17:06:00,changes on add on custom menu buttons'
'a17c32a6,Shalini,2023-05-06 17:02:18,changes on add ons products menu options and standard menu buttons'
'88cc5d1b,Shalini,2023-05-06 16:59:12,more button changes'
'0c8cb8c3,Shalini,2023-05-06 16:41:27,changes on events buttons'
'e6153f61,Shalini,2023-05-06 16:36:01,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'a553c08d,Shalini,2023-05-06 16:35:48,changes on menu options buttons'
'78318041,arinamaros,2023-05-06 16:35:07,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'7d669ebf,arinamaros,2023-05-06 16:35:00,css'
'e675836b,Shalini,2023-05-06 16:33:13,changes on custom menu and menu items buttons'
'05190bee,Shalini,2023-05-06 16:27:57,changes on custom menu custshow'
'3aa9e648,Shalini,2023-05-06 16:25:45,changes on custom menu displaygrid buttons'
'e5a108c6,Shalini,2023-05-06 16:20:58,changes on menu items buttons'
'905d004c,Shalini,2023-05-06 16:16:28,changes on venues and products buttons'
'd39b8ad3,arinamaros,2023-05-06 15:41:24,css'
'1081de1e,Shalini,2023-05-06 14:31:45,changes on display standard menu buttons'
'20c0d051,Shalini,2023-05-06 14:09:09,standard menu custshow buttons'
'e2a809f0,Shalini,2023-05-06 14:07:44,changed max width and size'
'5358c7c8,Shalini,2023-05-06 13:43:34,added btn primary button css'
'30bdc8b0,Shalini,2023-05-06 13:42:47,changed button css btn primary 1'
'f502f14c,Shalini,2023-05-06 13:29:05,new button css'
'f61d0cbe,arinamaros,2023-05-06 13:26:55,about us'
'5379fe5d,arinamaros,2023-05-06 13:05:08,solve conflict'
'e43659c2,Shalini,2023-05-06 13:00:38,css made'
'94a544a4,Shalini,2023-05-06 12:59:53,css made'
'3a036abb,arinamaros,2023-05-06 12:52:41,resolved about us'
'dc1306a8,arinamaros,2023-05-06 12:51:12,aboutus'
'16e37eb3,arinamaros,2023-05-06 12:39:21,css'
'3c907492,Shalini,2023-05-06 12:29:53,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'5a7780f5,Shalini,2023-05-06 12:29:35,confirmed purple gradient for website background'
'863946f2,arinamaros,2023-05-06 12:27:11,css'
'8bbfe295,arinamaros,2023-05-06 12:00:39,css'
'6b8f7f23,arinamaros,2023-05-06 11:58:15,css'
'be83a915,Your Name,2023-05-06 00:58:39,changed footer'
'4fc88df8,Your Name,2023-05-06 00:56:53,changed css'
'1a46006b,Your Name,2023-05-06 00:05:42,color change footer'
'cf74bed6,Your Name,2023-05-05 23:27:29,changed footer'
'eec894f6,Your Name,2023-05-05 23:03:35,add footer'
'1ceef534,Your Name,2023-05-05 22:55:49,edited body'
'087dcbab,Your Name,2023-05-05 22:27:13,added header'
'c7ca5ed8,Your Name,2023-05-05 22:25:37,css change info'
'c688e58c,Shalini,2023-05-05 21:35:54,changed more'
'c2190ecc,Shalini,2023-05-05 21:31:44,changed layout css'
'238cbc73,Shalini,2023-05-05 21:10:00,changed css for create custom menu'
